,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
64,CH,,13,18,22,680507.418369,7642314.424760001
65,CH,,33,19,19,680507.418369,7642314.424760001
66,CIN,,184,10,11,679641.171666,7642600.052019999
67,CIN,,136,12,13,679641.171666,7642600.052019999
68,CIN,,135,14,15,679641.171666,7642600.052019999
69,CIN,,21,16,18,679641.171666,7642600.052019999
70,CIN,,37,17,21,679641.171666,7642600.052019999
71,CLSB,,119,7,10,677049.082116,7645324.86245
72,CLSB,,9,8,11,677049.082116,7645324.86245
73,CLSB,,132,9,11,677049.082116,7645324.86245
74,CLSB,,146,10,13,677049.082116,7645324.86245
75,CLSB,,398,11,13,677049.082116,7645324.86245
76,CLSB,,20,12,14,677049.082116,7645324.86245
77,CLSB,,12,13,16,677049.082116,7645324.86245
78,CLSB,,20,14,16,677049.082116,7645324.86245
79,CLSB,,140,14,17,677049.082116,7645324.86245
80,CLSB,,277,16,17,677049.082116,7645324.86245
81,CLSB,,20,17,19,677049.082116,7645324.86245
82,CLSB,,39,17,20,677049.082116,7645324.86245
83,CLSB,,57,18,20,677049.082116,7645324.86245
84,EB,,84,8,9,679227.356364,7643015.9597
85,EB,,269,10,11,679227.356364,7643015.9597
86,EB,,192,12,13,679227.356364,7643015.9597
87,EB,,299,14,15,679227.356364,7643015.9597
88,EB,,26,16,17,679227.356364,7643015.9597
89,EB,,179,16,18,679227.356364,7643015.9597
90,EB,,151,18,20,679227.356364,7643015.9597
91,EB,,20,18,21,679227.356364,7643015.9597
92,FAB,,84,8,9,679576.3524409999,7643163.52598
93,FAB,,24,9,11,679576.3524409999,7643163.52598
94,FAB,,274,10,11,679576.3524409999,7643163.52598
95,FAB,,228,12,13,679576.3524409999,7643163.52598
96,FAB,,15,12,14,679576.3524409999,7643163.52598
97,FAB,,1,12,16,679576.3524409999,7643163.52598
98,FAB,,160,14,15,679576.3524409999,7643163.52598
99,FAB,,44,14,16,679576.3524409999,7643163.52598
100,FAB,,10,15,17,679576.3524409999,7643163.52598
101,FAB,,30,16,17,679576.3524409999,7643163.52598
102,FAB,,66,16,18,679576.3524409999,7643163.52598
103,FAB,,11,16,21,679576.3524409999,7643163.52598
104,FAB,,60,17,21,679576.3524409999,7643163.52598
105,FAB,,65,18,20,679576.3524409999,7643163.52598
106,FAB,,22,18,21,679576.3524409999,7643163.52598
107,HOFF,,168,8,9,680508.861028,7641292.417939999
108,HOFF,,176,10,11,680508.861028,7641292.417939999
109,HOFF,,37,12,13,680508.861028,7641292.417939999
110,HOFF,,153,14,15,680508.861028,7641292.417939999
111,LH,,22,8,8,680747.560767,7642413.45873
112,LH,,167,8,9,680747.560767,7642413.45873
113,LH,,79,9,9,680747.560767,7642413.45873
114,LH,,420,10,11,680747.560767,7642413.45873
115,LH,,8,11,11,680747.560767,7642413.45873
116,LH,,281,12,13,680747.560767,7642413.45873
117,LH,,7,13,13,680747.560767,7642413.45873
118,LH,,354,14,15,680747.560767,7642413.45873
119,LH,,39,14,16,680747.560767,7642413.45873
120,LH,,28,15,15,680747.560767,7642413.45873
121,LH,,29,15,17,680747.560767,7642413.45873
122,LH,,17,16,16,680747.560767,7642413.45873
123,LH,,52,16,17,680747.560767,7642413.45873
124,LH,,107,16,18,680747.560767,7642413.45873
125,LH,,15,17,17,680747.560767,7642413.45873
126,LH,,27,17,18,680747.560767,7642413.45873
127,LH,,46,17,20,680747.560767,7642413.45873
128,LH,,28,18,18,680747.560767,7642413.45873
129,LH,,18,18,20,680747.560767,7642413.45873
130,LH,,40,18,21,680747.560767,7642413.45873
131,LH,,18,19,20,680747.560767,7642413.45873
132,LH,,5,19,22,680747.560767,7642413.45873
133,NASCC,,13,14,15,679358.825874,7641845.3937800005
134,NH,,25,8,8,680027.8416159999,7642114.5862
135,NH,,395,8,9,680027.8416159999,7642114.5862
136,NH,,17,8,11,680027.8416159999,7642114.5862
137,NH,,104,9,11,680027.8416159999,7642114.5862
138,NH,,1047,10,11,680027.8416159999,7642114.5862
139,NH,,25,12,12,680027.8416159999,7642114.5862
140,NH,,878,12,13,680027.8416159999,7642114.5862
141,NH,,25,12,14,680027.8416159999,7642114.5862
142,NH,,28,13,13,680027.8416159999,7642114.5862
143,NH,,14,13,15,680027.8416159999,7642114.5862
144,NH,,826,14,15,680027.8416159999,7642114.5862
145,NH,,60,14,16,680027.8416159999,7642114.5862
146,NH,,9,14,18,680027.8416159999,7642114.5862
147,NH,,37,15,16,680027.8416159999,7642114.5862
148,NH,,19,15,17,680027.8416159999,7642114.5862
149,NH,,51,16,17,680027.8416159999,7642114.5862
150,NH,,380,16,18,680027.8416159999,7642114.5862
151,NH,,34,17,20,680027.8416159999,7642114.5862
152,NH,,269,17,21,680027.8416159999,7642114.5862
153,NH,,19,18,19,680027.8416159999,7642114.5862
154,NH,,204,18,20,680027.8416159999,7642114.5862
155,NH,,40,18,21,680027.8416159999,7642114.5862
156,OND,,146,10,11,679594.3165930001,7642530.21924
157,OND,,138,12,13,679594.3165930001,7642530.21924
158,OND,,154,14,15,679594.3165930001,7642530.21924
159,OND,,6,16,17,679594.3165930001,7642530.21924
160,OND,,98,16,18,679594.3165930001,7642530.21924
161,OND,,40,18,20,679594.3165930001,7642530.21924
162,PKM,,9,9,9,680835.377374,7642071.12622
163,PKM,,190,10,11,680835.377374,7642071.12622
164,PKM,,170,12,13,680835.377374,7642071.12622
165,PKM,,138,14,15,680835.377374,7642071.12622
166,PKM,,18,16,17,680835.377374,7642071.12622
167,PKM,,65,16,18,680835.377374,7642071.12622
168,PKM,,43,17,20,680835.377374,7642071.12622
169,PKM,,27,17,21,680835.377374,7642071.12622
170,PNT,,26,8,9,679345.2322569999,7642439.43789
171,PNT,,92,10,11,679345.2322569999,7642439.43789
172,PNT,,140,12,13,679345.2322569999,7642439.43789
173,PNT,,133,14,15,679345.2322569999,7642439.43789
