,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
78,CLSB,,32,14,15,677049.082116,7645324.86245
79,CLSB,,22,14,16,677049.082116,7645324.86245
80,CLSB,,131,14,17,677049.082116,7645324.86245
81,CLSB,,277,16,17,677049.082116,7645324.86245
82,CLSB,,22,17,19,677049.082116,7645324.86245
83,CLSB,,31,17,20,677049.082116,7645324.86245
84,CLSB,,61,18,20,677049.082116,7645324.86245
85,EB,,84,8,9,679227.356364,7643015.9597
86,EB,,22,9,12,679227.356364,7643015.9597
87,EB,,308,10,11,679227.356364,7643015.9597
88,EB,,193,12,13,679227.356364,7643015.9597
89,EB,,285,14,15,679227.356364,7643015.9597
90,EB,,12,14,16,679227.356364,7643015.9597
91,EB,,19,16,17,679227.356364,7643015.9597
92,EB,,177,16,18,679227.356364,7643015.9597
93,EB,,13,17,21,679227.356364,7643015.9597
94,EB,,153,18,20,679227.356364,7643015.9597
95,FAB,,84,8,9,679576.3524409999,7643163.52598
96,FAB,,24,8,10,679576.3524409999,7643163.52598
97,FAB,,25,9,11,679576.3524409999,7643163.52598
98,FAB,,240,10,11,679576.3524409999,7643163.52598
99,FAB,,252,12,13,679576.3524409999,7643163.52598
100,FAB,,2,12,16,679576.3524409999,7643163.52598
101,FAB,,26,13,15,679576.3524409999,7643163.52598
102,FAB,,183,14,15,679576.3524409999,7643163.52598
103,FAB,,32,14,16,679576.3524409999,7643163.52598
104,FAB,,24,15,16,679576.3524409999,7643163.52598
105,FAB,,65,16,17,679576.3524409999,7643163.52598
106,FAB,,65,16,18,679576.3524409999,7643163.52598
107,FAB,,42,16,20,679576.3524409999,7643163.52598
108,FAB,,12,16,21,679576.3524409999,7643163.52598
109,FAB,,9,17,21,679576.3524409999,7643163.52598
110,FAB,,88,18,20,679576.3524409999,7643163.52598
111,FAB,,37,18,21,679576.3524409999,7643163.52598
112,FAB,,23,20,21,679576.3524409999,7643163.52598
113,HOFF,,168,8,9,680508.861028,7641292.417939999
114,HOFF,,176,10,11,680508.861028,7641292.417939999
115,HOFF,,37,12,13,680508.861028,7641292.417939999
116,HOFF,,153,14,15,680508.861028,7641292.417939999
117,LH,,22,8,8,680747.560767,7642413.45873
118,LH,,167,8,9,680747.560767,7642413.45873
119,LH,,79,9,9,680747.560767,7642413.45873
120,LH,,420,10,11,680747.560767,7642413.45873
121,LH,,8,11,11,680747.560767,7642413.45873
122,LH,,178,12,12,680747.560767,7642413.45873
123,LH,,251,12,13,680747.560767,7642413.45873
124,LH,,7,13,13,680747.560767,7642413.45873
125,LH,,341,14,15,680747.560767,7642413.45873
126,LH,,39,14,16,680747.560767,7642413.45873
127,LH,,35,15,15,680747.560767,7642413.45873
128,LH,,29,15,17,680747.560767,7642413.45873
129,LH,,17,16,16,680747.560767,7642413.45873
130,LH,,52,16,17,680747.560767,7642413.45873
131,LH,,79,16,18,680747.560767,7642413.45873
132,LH,,15,17,17,680747.560767,7642413.45873
133,LH,,27,17,18,680747.560767,7642413.45873
134,LH,,59,17,21,680747.560767,7642413.45873
135,LH,,28,18,18,680747.560767,7642413.45873
136,LH,,8,18,20,680747.560767,7642413.45873
137,LH,,36,18,21,680747.560767,7642413.45873
138,LH,,5,19,22,680747.560767,7642413.45873
139,NASCC,,13,14,15,679358.825874,7641845.3937800005
140,NASCC,,17,17,21,679358.825874,7641845.3937800005
141,NH,,25,8,8,680027.8416159999,7642114.5862
142,NH,,396,8,9,680027.8416159999,7642114.5862
143,NH,,17,8,11,680027.8416159999,7642114.5862
144,NH,,6,9,9,680027.8416159999,7642114.5862
145,NH,,104,9,11,680027.8416159999,7642114.5862
146,NH,,1040,10,11,680027.8416159999,7642114.5862
147,NH,,25,12,12,680027.8416159999,7642114.5862
148,NH,,882,12,13,680027.8416159999,7642114.5862
149,NH,,25,12,14,680027.8416159999,7642114.5862
150,NH,,28,13,13,680027.8416159999,7642114.5862
151,NH,,7,13,14,680027.8416159999,7642114.5862
152,NH,,14,13,15,680027.8416159999,7642114.5862
153,NH,,826,14,15,680027.8416159999,7642114.5862
154,NH,,60,14,16,680027.8416159999,7642114.5862
155,NH,,15,14,17,680027.8416159999,7642114.5862
156,NH,,37,15,16,680027.8416159999,7642114.5862
157,NH,,19,15,17,680027.8416159999,7642114.5862
