,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
130,HOFF,,28,14,15,680508.861028,7641292.417939999
131,HOFF,,163,16,18,680508.861028,7641292.417939999
132,HOFF,,193,18,20,680508.861028,7641292.417939999
133,LH,,47,8,8,680747.560767,7642413.45873
134,LH,,67,8,10,680747.560767,7642413.45873
135,LH,,62,9,9,680747.560767,7642413.45873
136,LH,,30,9,10,680747.560767,7642413.45873
137,LH,,267,10,11,680747.560767,7642413.45873
138,LH,,172,11,12,680747.560767,7642413.45873
139,LH,,8,11,13,680747.560767,7642413.45873
140,LH,,202,12,13,680747.560767,7642413.45873
141,LH,,12,13,14,680747.560767,7642413.45873
142,LH,,20,14,14,680747.560767,7642413.45873
143,LH,,224,14,15,680747.560767,7642413.45873
144,LH,,10,15,15,680747.560767,7642413.45873
145,LH,,26,15,16,680747.560767,7642413.45873
146,LH,,9,16,16,680747.560767,7642413.45873
147,LH,,74,16,17,680747.560767,7642413.45873
148,LH,,68,16,18,680747.560767,7642413.45873
149,LH,,11,17,17,680747.560767,7642413.45873
150,LH,,35,17,21,680747.560767,7642413.45873
151,LH,,10,18,18,680747.560767,7642413.45873
152,LH,,112,18,21,680747.560767,7642413.45873
153,LH,,39,19,20,680747.560767,7642413.45873
154,LH,,5,19,22,680747.560767,7642413.45873
155,NASCC,,12,17,21,679358.825874,7641845.3937800005
156,NH,,13,7,8,680027.8416159999,7642114.5862
157,NH,,25,8,8,680027.8416159999,7642114.5862
158,NH,,178,8,9,680027.8416159999,7642114.5862
159,NH,,236,8,10,680027.8416159999,7642114.5862
160,NH,,22,9,9,680027.8416159999,7642114.5862
161,NH,,269,9,10,680027.8416159999,7642114.5862
162,NH,,155,9,11,680027.8416159999,7642114.5862
163,NH,,474,10,11,680027.8416159999,7642114.5862
164,NH,,67,10,12,680027.8416159999,7642114.5862
165,NH,,476,11,12,680027.8416159999,7642114.5862
166,NH,,25,12,12,680027.8416159999,7642114.5862
167,NH,,462,12,13,680027.8416159999,7642114.5862
168,NH,,25,12,14,680027.8416159999,7642114.5862
169,NH,,47,13,13,680027.8416159999,7642114.5862
170,NH,,32,13,14,680027.8416159999,7642114.5862
171,NH,,45,13,15,680027.8416159999,7642114.5862
172,NH,,785,14,15,680027.8416159999,7642114.5862
173,NH,,88,14,16,680027.8416159999,7642114.5862
174,NH,,22,15,16,680027.8416159999,7642114.5862
175,NH,,37,15,17,680027.8416159999,7642114.5862
176,NH,,14,16,17,680027.8416159999,7642114.5862
177,NH,,476,16,18,680027.8416159999,7642114.5862
178,NH,,31,17,18,680027.8416159999,7642114.5862
179,NH,,320,17,21,680027.8416159999,7642114.5862
180,NH,,9,18,19,680027.8416159999,7642114.5862
181,NH,,178,18,20,680027.8416159999,7642114.5862
182,NH,,139,18,21,680027.8416159999,7642114.5862
183,OND,,74,8,10,679594.3165930001,7642530.21924
184,OND,,18,9,10,679594.3165930001,7642530.21924
185,OND,,13,9,11,679594.3165930001,7642530.21924
186,OND,,116,10,11,679594.3165930001,7642530.21924
187,OND,,92,11,12,679594.3165930001,7642530.21924
188,OND,,96,12,13,679594.3165930001,7642530.21924
189,OND,,17,12,15,679594.3165930001,7642530.21924
190,OND,,102,14,15,679594.3165930001,7642530.21924
191,OND,,17,15,17,679594.3165930001,7642530.21924
192,OND,,61,16,18,679594.3165930001,7642530.21924
193,OND,,25,16,20,679594.3165930001,7642530.21924
194,OND,,23,17,21,679594.3165930001,7642530.21924
195,PKM,,80,8,10,680835.377374,7642071.12622
196,PKM,,29,9,9,680835.377374,7642071.12622
197,PKM,,118,10,11,680835.377374,7642071.12622
198,PKM,,107,11,12,680835.377374,7642071.12622
199,PKM,,18,12,13,680835.377374,7642071.12622
200,PKM,,25,13,15,680835.377374,7642071.12622
201,PKM,,79,14,15,680835.377374,7642071.12622
202,PKM,,1,14,16,680835.377374,7642071.12622
203,PKM,,61,16,18,680835.377374,7642071.12622
204,PKM,,7,16,20,680835.377374,7642071.12622
205,PKM,,25,17,21,680835.377374,7642071.12622
206,PKM,,72,18,20,680835.377374,7642071.12622
207,PNT,,13,9,10,679345.2322569999,7642439.43789
208,PNT,,72,10,11,679345.2322569999,7642439.43789
209,PNT,,17,11,12,679345.2322569999,7642439.43789
210,PNT,,16,11,13,679345.2322569999,7642439.43789
211,PNT,,102,12,13,679345.2322569999,7642439.43789
212,PNT,,16,13,15,679345.2322569999,7642439.43789
213,PNT,,92,14,15,679345.2322569999,7642439.43789
214,PNT,,81,16,18,679345.2322569999,7642439.43789
215,SB1,,97,9,11,680960.596738,7641768.74235
216,SB1,,119,11,12,680960.596738,7641768.74235
217,SB1,,43,12,13,680960.596738,7641768.74235
218,SB1,,14,13,14,680960.596738,7641768.74235
219,SB1,,18,14,15,680960.596738,7641768.74235
220,SB1,,25,15,16,680960.596738,7641768.74235
221,SB1,,8,17,18,680960.596738,7641768.74235
222,SB1,,29,17,20,680960.596738,7641768.74235
223,SEC,,16,10,12,678762.0050939999,7642562.06508
224,SEC,,16,14,15,678762.0050939999,7642562.06508
225,SEC,,8,17,21,678762.0050939999,7642562.06508
226,SEH,,19,8,10,680669.6716560001,7641270.5697800005
227,SEH,,30,9,10,680669.6716560001,7641270.5697800005
228,SEH,,34,10,12,680669.6716560001,7641270.5697800005
229,SEH,,32,11,12,680669.6716560001,7641270.5697800005
230,SEH,,18,12,14,680669.6716560001,7641270.5697800005
231,SEH,,39,14,15,680669.6716560001,7641270.5697800005
232,SEH,,12,16,17,680669.6716560001,7641270.5697800005
233,SEH,,17,16,18,680669.6716560001,7641270.5697800005
234,SEH,,14,17,21,680669.6716560001,7641270.5697800005
235,SH,,83,9,10,679795.846701,7642013.91022
236,SH,,18,9,11,679795.846701,7642013.91022
237,SH,,135,10,11,679795.846701,7642013.91022
238,SH,,60,10,12,679795.846701,7642013.91022
239,SH,,16,13,16,679795.846701,7642013.91022
240,SH,,186,13,17,679795.846701,7642013.91022
241,SH,,15,14,15,679795.846701,7642013.91022
242,SH,,30,17,20,679795.846701,7642013.91022
243,SH,,33,18,21,679795.846701,7642013.91022
244,SRTC,,72,8,10,680741.5574630001,7641704.5849399995
245,SRTC,,14,8,11,680741.5574630001,7641704.5849399995
246,SRTC,,18,9,9,680741.5574630001,7641704.5849399995
247,SRTC,,23,9,10,680741.5574630001,7641704.5849399995
248,SRTC,,66,9,11,680741.5574630001,7641704.5849399995
249,SRTC,,74,10,11,680741.5574630001,7641704.5849399995
250,SRTC,,24,10,12,680741.5574630001,7641704.5849399995
251,SRTC,,25,10,13,680741.5574630001,7641704.5849399995
252,SRTC,,62,11,12,680741.5574630001,7641704.5849399995
253,SRTC,,86,11,13,680741.5574630001,7641704.5849399995
254,SRTC,,20,11,14,680741.5574630001,7641704.5849399995
255,SRTC,,34,12,13,680741.5574630001,7641704.5849399995
256,SRTC,,55,12,14,680741.5574630001,7641704.5849399995
257,SRTC,,16,13,16,680741.5574630001,7641704.5849399995
258,SRTC,,182,14,15,680741.5574630001,7641704.5849399995
259,SRTC,,29,14,16,680741.5574630001,7641704.5849399995
260,SRTC,,7,15,16,680741.5574630001,7641704.5849399995
261,SRTC,,44,15,17,680741.5574630001,7641704.5849399995
262,SRTC,,1,16,17,680741.5574630001,7641704.5849399995
263,SRTC,,48,16,18,680741.5574630001,7641704.5849399995
264,SRTC,,56,17,19,680741.5574630001,7641704.5849399995
265,SRTC,,38,17,21,680741.5574630001,7641704.5849399995
266,SRTC,,72,18,20,680741.5574630001,7641704.5849399995
267,SRTC,,15,18,21,680741.5574630001,7641704.5849399995
268,UCB,,17,9,11,680315.189161,7642847.982360001
269,UCB,,11,10,12,680315.189161,7642847.982360001
270,UCB,,6,12,13,680315.189161,7642847.982360001
271,UCB,,11,14,15,680315.189161,7642847.982360001
272,URBN,,43,8,10,680315.189161,7642847.982360001
273,URBN,,41,9,9,680315.189161,7642847.982360001
274,URBN,,11,9,10,680315.189161,7642847.982360001
275,URBN,,8,9,11,680315.189161,7642847.982360001
276,URBN,,104,10,11,680315.189161,7642847.982360001
277,URBN,,73,11,12,680315.189161,7642847.982360001
278,URBN,,106,12,13,680315.189161,7642847.982360001
279,URBN,,20,13,14,680315.189161,7642847.982360001
280,URBN,,38,13,15,680315.189161,7642847.982360001
281,URBN,,82,14,15,680315.189161,7642847.982360001
282,URBN,,77,16,18,680315.189161,7642847.982360001
283,URBN,,7,16,20,680315.189161,7642847.982360001
284,URBN,,57,17,21,680315.189161,7642847.982360001
285,UTS,,23,6,7,678770.333626,7642673.465030001
286,UTS,,99,8,9,678770.333626,7642673.465030001
287,UTS,,54,8,10,678770.333626,7642673.465030001
288,UTS,,43,9,10,678770.333626,7642673.465030001
289,UTS,,43,9,11,678770.333626,7642673.465030001
290,UTS,,165,10,11,678770.333626,7642673.465030001
291,UTS,,78,10,12,678770.333626,7642673.465030001
292,UTS,,36,11,12,678770.333626,7642673.465030001
293,UTS,,13,12,13,678770.333626,7642673.465030001
294,UTS,,58,12,16,678770.333626,7642673.465030001
295,UTS,,133,14,15,678770.333626,7642673.465030001
296,UTS,,40,14,16,678770.333626,7642673.465030001
297,UTS,,89,16,18,678770.333626,7642673.465030001
298,UTS,,7,16,20,678770.333626,7642673.465030001
299,UTS,,29,17,18,678770.333626,7642673.465030001
300,UTS,,41,17,19,678770.333626,7642673.465030001
301,UTS,,200,17,21,678770.333626,7642673.465030001
302,UTS,,32,18,20,678770.333626,7642673.465030001
